Weather_Type_ID,Weather_Description
3,broken clouds
3,broken clouds
1,light rain
1,light rain
3,scattered clouds
3,scattered clouds
2,clear sky
2,clear sky
1,light rain
1,light rain
1,light rain
3,few clouds
3,few clouds
3,few clouds
3,few clouds
3,broken clouds
3,broken clouds
2,clear sky
2,clear sky
2,clear sky
2,clear sky
3,scattered clouds
3,scattered clouds
3,scattered clouds
1,light rain
1,light rain
3,broken clouds
3,broken clouds
2,clear sky
2,clear sky
2,clear sky
2,clear sky
2,clear sky
2,clear sky
3,few clouds
3,few clouds
3,broken clouds
3,broken clouds
1,light rain
1,light rain
3,scattered clouds
3,scattered clouds
3,few clouds
3,few clouds
2,clear sky
2,clear sky
3,broken clouds
3,broken clouds
1,light rain
1,light rain
1,light rain
1,light rain
3,overcast clouds
1,light rain
1,light rain
2,clear sky
2,clear sky
2,clear sky
2,clear sky
1,light rain
1,light rain
1,moderate rain
3,overcast clouds
3,overcast clouds
1,light rain
1,light rain
2,clear sky
2,clear sky
2,clear sky
2,clear sky
1,light rain
1,light rain
1,light rain
3,overcast clouds
3,overcast clouds
1,light rain
1,light rain
3,scattered clouds
3,scattered clouds
1,light rain
1,light rain
1,light rain
1,light rain
1,light rain
2,clear sky
3,few clouds
1,light rain
1,light rain
1,light rain
3,scattered clouds
3,few clouds
2,clear sky
2,clear sky
3,broken clouds
3,broken clouds
2,clear sky
1,light rain
3,scattered clouds
3,few clouds
3,few clouds
3,scattered clouds
2,clear sky
2,clear sky
3,few clouds
3,few clouds
2,clear sky
2,clear sky
2,clear sky
2,clear sky
3,scattered clouds
3,scattered clouds
3,few clouds
3,few clouds
3,few clouds
3,few clouds
3,scattered clouds
3,scattered clouds
3,overcast clouds
3,overcast clouds
1,light rain
1,light rain
3,overcast clouds
3,overcast clouds
3,scattered clouds
3,scattered clouds
1,light rain
2,clear sky
2,clear sky
2,clear sky
3,overcast clouds
3,scattered clouds
3,scattered clouds
3,few clouds
3,few clouds
3,broken clouds
3,broken clouds
3,overcast clouds
3,broken clouds
1,light rain
1,light rain
3,few clouds
3,few clouds
2,clear sky
2,clear sky
3,broken clouds
1,light rain
1,moderate rain
1,light rain
1,light rain
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,scattered clouds
3,broken clouds
3,broken clouds
1,light rain
3,broken clouds
3,few clouds
2,clear sky
2,clear sky
3,few clouds
3,few clouds
3,scattered clouds
3,broken clouds
3,broken clouds
1,light rain
3,scattered clouds
3,broken clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,scattered clouds
3,overcast clouds
3,overcast clouds
3,broken clouds
3,scattered clouds
2,clear sky
1,moderate rain
3,overcast clouds
3,overcast clouds
1,light rain
3,overcast clouds
3,broken clouds
3,overcast clouds
1,light rain
3,few clouds
3,few clouds
3,scattered clouds
1,moderate rain
1,moderate rain
1,light rain
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,scattered clouds
3,broken clouds
3,broken clouds
1,light rain
3,overcast clouds
3,overcast clouds
3,overcast clouds
3,few clouds
