Weather_Type_ID,Weather_Main_Category
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
2,Clear
2,Clear
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
2,Clear
2,Clear
2,Clear
2,Clear
3,Clouds
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
2,Clear
2,Clear
2,Clear
2,Clear
2,Clear
2,Clear
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
2,Clear
2,Clear
3,Clouds
3,Clouds
1,Rain
1,Rain
1,Rain
1,Rain
3,Clouds
1,Rain
1,Rain
2,Clear
2,Clear
2,Clear
2,Clear
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
1,Rain
1,Rain
2,Clear
2,Clear
2,Clear
2,Clear
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
1,Rain
1,Rain
1,Rain
1,Rain
1,Rain
2,Clear
3,Clouds
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
2,Clear
2,Clear
3,Clouds
3,Clouds
2,Clear
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
2,Clear
2,Clear
3,Clouds
3,Clouds
2,Clear
2,Clear
2,Clear
2,Clear
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
2,Clear
2,Clear
2,Clear
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
1,Rain
3,Clouds
3,Clouds
2,Clear
2,Clear
3,Clouds
1,Rain
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
3,Clouds
3,Clouds
2,Clear
2,Clear
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
2,Clear
1,Rain
3,Clouds
3,Clouds
1,Rain
3,Clouds
3,Clouds
3,Clouds
1,Rain
3,Clouds
3,Clouds
3,Clouds
1,Rain
1,Rain
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
3,Clouds
1,Rain
3,Clouds
3,Clouds
3,Clouds
3,Clouds
