Datetime,Temperature,Humidity,Pressure,Weather,Description
2025-04-10 12:00:00,28.31,59,1006,Clouds,overcast clouds
2025-04-10 15:00:00,27.42,64,1007,Clouds,overcast clouds
2025-04-10 18:00:00,25.52,75,1009,Clouds,overcast clouds
2025-04-10 21:00:00,23.3,85,1008,Clouds,overcast clouds
2025-04-11 00:00:00,22.81,87,1009,Clouds,broken clouds
2025-04-11 03:00:00,26.9,66,1010,Clouds,few clouds
2025-04-11 06:00:00,32.49,45,1009,Clouds,few clouds
2025-04-11 09:00:00,34.26,39,1005,Clear,clear sky
2025-04-11 12:00:00,30.25,53,1006,Clouds,few clouds
2025-04-11 15:00:00,26.31,72,1008,Rain,light rain
2025-04-11 18:00:00,25.02,78,1010,Rain,light rain
2025-04-11 21:00:00,24.02,82,1009,Rain,light rain
2025-04-12 00:00:00,23.8,80,1010,Rain,light rain
2025-04-12 03:00:00,26.4,66,1011,Clouds,overcast clouds
2025-04-12 06:00:00,31.53,45,1010,Clouds,broken clouds
2025-04-12 09:00:00,33.93,38,1006,Clouds,few clouds
2025-04-12 12:00:00,30.21,54,1007,Clouds,few clouds
2025-04-12 15:00:00,25.62,75,1009,Clear,clear sky
2025-04-12 18:00:00,24.48,82,1011,Clear,clear sky
2025-04-12 21:00:00,23.8,81,1009,Clouds,scattered clouds
2025-04-13 00:00:00,23.21,83,1010,Clouds,scattered clouds
2025-04-13 03:00:00,27.24,63,1011,Clouds,broken clouds
2025-04-13 06:00:00,31.55,45,1010,Clouds,broken clouds
2025-04-13 09:00:00,34.6,35,1006,Clouds,few clouds
2025-04-13 12:00:00,31.57,45,1006,Rain,light rain
2025-04-13 15:00:00,26.21,71,1009,Rain,light rain
2025-04-13 18:00:00,24.41,82,1010,Clouds,scattered clouds
2025-04-13 21:00:00,24.16,82,1009,Rain,light rain
2025-04-14 00:00:00,23.46,83,1009,Rain,light rain
2025-04-14 03:00:00,26.92,66,1010,Clouds,broken clouds
2025-04-14 06:00:00,33.05,42,1009,Clouds,scattered clouds
2025-04-14 09:00:00,35.42,34,1005,Rain,light rain
2025-04-14 12:00:00,27.96,60,1006,Rain,light rain
2025-04-14 15:00:00,26.42,71,1009,Rain,light rain
2025-04-14 18:00:00,24.74,79,1009,Rain,light rain
2025-04-14 21:00:00,24.88,76,1007,Clouds,overcast clouds
2025-04-15 00:00:00,24.52,76,1008,Rain,light rain
2025-04-15 03:00:00,27.68,56,1010,Clouds,overcast clouds
2025-04-15 06:00:00,32.5,39,1009,Clouds,overcast clouds
2025-04-15 09:00:00,35.03,32,1005,Clouds,broken clouds
